No.,Character,Unicode,Set,Challenge note,TW/Hakka code,IICore TW,IICore HK,Table A,Table B,Small dict,Revised,County/city name,Road name,Surname flag,Examinee,City,JIS,Font count,Category,Notes
5132,氈,06C08,Big5-1,TW / Hakka,A,A,,V,V,V,,,,,,2,,13,Common word,羊毛氈 (wool felt)
5839,槲,069F2,Big5-2,,C,,,V,,V,,,,,,2,,11,Flora & fauna,槲寄生 (mistletoe)
5412,傚,0509A,Big5-1,,A,A,,V,,V,,,,1,,2,,12,Common word,仿傚 (imitate / emulate)
5961,蟳,087F3,Big5-2,TW,C,,,V,,V,,,,,,,,11,,紅蟳 (red crab; coastal TW usage)
5516,欉,06B09,Big5-2,TW / Hakka,C,,,,,,,,403,28,,,,12,,一欉 (one plant/clump; Taiwanese 欉 ≈ 叢)
5919,粼,07CBC,Big5-2,,B,B,,V,,V,,,,1,,3,,11,,波光粼粼 (shimmering ripples of light on water)
3210,粘,07C98,Big5-2,,A,A,,V,V,V,,3,9916,598,,1,常,14,Uncategorized,粘液；粘土 (mucus / sticky fluid; clay) — often 黏 in TW
5951,蓍,084CD,Big5-2,,,A,,V,,V,,,,,,2,,11,,蓍草 (yarrow; used in classical divination)
5233,縞,07E1E,Big5-1,,A,A,,V,,V,,,,,,1,人,13,Occasionally used,縞布 (plain white silk cloth)
6199,沍,06C8D,Big5-1,,A,,,V,,V,,,,1,,2,,10,,凍沍 (frozen solid; classical)
5186,瓤,7.40E+05,Big5-1,TW / Hakka,A,,,V,,V,,,,,,,,13,Food,西瓜瓤 (watermelon flesh)
5858,汛,06C5B,Big5-1,,A,A,,V,,V,,,,21,,4,,11,Common word,汛期 (flood season)
5044,嚓,5693,Big5-2,TW,B,B,,V,,,,,,,,,,13,Common word,喀嚓 (crack / snap (onomatopoeia))
660,喙,5599,Big5-1,TW,A,A,,V,V,V,,,,,,2,,14,Uncategorized,鳥喙；毋庸置喙 (bird’s beak; “no need to chime in”)
6212,澇,06F87,Big5-2,,B,B,,V,,V,,,,,,,,10,,防旱防澇、旱澇不均 (drought & flood control; uneven wet/dry)
5544,玆,7386,Big5-1,,A,A,,V,,,,,,2,20,,,12,Variant form,茲 (this / now)
6974,袓,8893,Big5-2,HK / Hakka note,B,,,,,,,1,1,7,,,,8,,多用於人名 (mainly in personal names; rare in compounds)
6256,磡,7.80E+02,Big5-2,HK / Hakka note,B,B,,,,,,,,,,4,,10,,石磡 (stone ledge / embankment steps; esp. HK/Cantonese)
5717,儆,5106,Big5-2,HK / Hakka note,A,A,,V,,V,,,,2,,3,,11,Common word,殺雞儆猴 (kill the chicken to scare the monkey)
5216,篦,07BE6,Big5-1,TW / Hakka,A,,,V,,V,,,,,,2,,13,Common word,篦子 (fine-toothed comb)
6284,繖,7.00E+56,Big5-2,,,,,V,,V,,,,,,2,,10,,繖蓋 (canopy / parasol; variant of 傘)
5164,煨,7168,Big5-1,TW / Hakka,A,A,,V,,V,,,,,,3,,13,Food,煨麵 (simmered noodles)
5173,玥,073A5,Big5-1,,A,A,,,,V,,,,437,,4,,13,Surname / personal name,多用於人名 (mythic pearl; very common in personal names)
1907,暱,066B1,Big5-1,TW / Hakka,A,A,,V,V,V,,,,1,,4,,14,Uncategorized,暱稱；親暱 (nickname; intimate / affectionate)
5185,瓔,074D4,Big5-1,,A,A,,V,,V,,,,81,,2,,13,Surname / personal name,楊瓊瓔 (personal name (楊瓊瓔))
5141,洸,06D38,Big5-1,,A,A,,V,,V,,,,94,,2,人,13,Surname / personal name,核能教授葉宗洸 (nuclear scholar Yeh Tsung-kuang)
6527,桉,6849,Big5-2,,B,,,V,,V,,,,5,,4,,9,,桉樹 (eucalyptus)
5706,佶,04F76,Big5-2,,A,A,,V,,V,,,,139,,2,,11,Common in naming,佶屈聱牙 (tortuous wording; hard to read aloud)
5363,閹,095B9,Big5-2,TW / Hakka,B,B,,V,,V,,,,,,2,,13,Common word,閹割 (castrate)
6013,闍,095CD,Big5-2,,,,,V,,V,,,,,,2,,11,,阿闍梨 (ācārya — Buddhist teacher)
