序號,漢字,Unicode,字集,有疑問／想挑戰紀錄,台客語,IICore台,IICore港,甲表,乙表,小字典,重編,縣市名,路名,姓氏,考生,城市,JIS,字型數,分類,附註
7491,㹴,3.00E+74,ExtA,,,,,,,,,,,,,,,6,,㹴犬
9114,䠷,4837,ExtA,,,,,,,,,,,,,,,4,,"建議基本包增收「䠷」字，常用詞為「高䠷」。
 「䠷」字Big-5未收，使得長久以來多以「高挑」取代。
 現代漢語中，「高䠷」屬常用詞，教育部辭典中適合中學與小學之簡編本、小辭典亦皆有收錄。"
5012,万,4.00E+07,Big5-2,,,A,,V,,V,,,2,8,,1,常,13,異體,萬
5013,与,04E0E,Big5-2,,,,,V,,,,,,,,1,常,13,異體,與
21,丰,4.00E+30,Big5-1,,A,A,,V,V,V,,,,319,,3,,14,不分類,14 都有收
5014,丼,04E3C,Big5-2,台,B,,,,,,,,,,,2,常,13,食物,牛丼
5702,乂,4.00E+42,Big5-2,,,A,,V,,V,,,,11,1,2,,11,,乂煞氣a文字乂
38,乜,04E5C,Big5-2,台、客,B,B,,V,,V,,,46,,,,,14,不分類,14 都有收
5399,亓,4.00E+93,Big5-2,,B,,,V,,V,,,239,15,,,,12,姓氏、人名,少見姓氏
5703,亘,4.00E+98,CJK,,,A,,,,V,,,,520,1,1,人,11,姓氏、人名,
5015,亢,04EA2,Big5-1,台、客,A,A,,V,V,V,,,84,25,,2,,13,常用詞,高亢
5016,亳,04EB3,Big5-1,,A,,,V,,V,,,,,,2,,13,史地用字,商湯定都於亳縣
5400,仝,04EDD,Big5-2,台,A,A,,V,V,V,,,203,14,,,,12,異體,同
5401,仨,04EE8,Big5-2,,,,,V,,V,,,,,,,,12,姓氏、人名,公司行號多
6755,仵,04EF5,Big5-2,台,,,,V,,V,,,37,,,4,,8,古漢文,仵作（驗屍官）
5402,价,04EF7,Big5-2,,,A,,V,,V,,,,54,,2,,12,異體,價
5704,伃,04F03,CJK,,,,,,,V,,,,1439,,3,,11,姓氏、人名,
6417,伋,04F0B,Big5-1,,A,A,,V,,V,,,4,6,,3,,9,,
5403,伎,04F0E,Big5-2,,A,A,,V,,V,,,,7,,1,常,12,常用詞,伎倆
5017,优,04F18,Big5-2,,A,,,V,,V,,,2,,,,,13,異體,優
5705,伝,04F1D,Big5-2,,,,,,,,,,,,,1,常,11,異體,傳
116,佈,04F48,Big5-1,台、客,A,A,,V,V,V,,,6,1,,3,,14,不分類,14 都有收
122,体,04F53,Big5-2,,A,,,V,,V,,,,,,1,常,14,不分類,14 都有收
5404,佘,04F58,Big5-2,台,B,B,,V,,V,,,3598,224,,4,,12,姓氏、人名,姓氏
5018,佚,04F5A,Big5-1,,A,A,,V,V,V,,,,12,,2,,13,常用詞,佚名
5405,佟,04F5F,Big5-2,台,B,B,,V,,V,,,642,53,,3,,12,姓氏、人名,公司行號多
5406,佢,04F62,Big5-2,客,B,B,,V,,,,,,1,,,,12,,粵語
5706,佶,04F76,Big5-2,,A,A,,V,,V,,,,139,,2,,11,命名常用,
6420,佺,04F7A,Big5-1,,A,A,,V,,V,,,,18,,4,,9,,
5019,佼,04F7C,Big5-2,,A,A,,V,,V,,,,25,,1,,13,常用詞,佼佼者
143,侄,04F84,Big5-2,,A,A,,V,,V,,,,,,,,14,不分類,14 都有收
149,侑,04F91,Big5-1,,A,A,,V,,V,,,,1420,,2,人,14,不分類,14 都有收
5707,侔,04F94,Big5-2,,,,,V,,V,,,,2,,3,,11,,命名偶爾用
5708,侗,04F97,Big5-2,台,,A,,V,,V,,,,2,,3,,11,命名常用,
5709,侘,04F98,Big5-2,,,A,,V,,V,,,,,,2,,11,日文,侘寂
157,侷,04FB7,Big5-1,台,A,,,V,,V,,,,,,,,14,不分類,14 都有收
7100,俋,04FCB,Big5-2,,C,,,V,,,,,,86,,4,,7,,
7503,俣,04FE3,CJK,,,,,,,,,,,,2,1,人,6,,
5710,俥,04FE5,CJK,,B,,,,,,,,,,,2,,11,偶爾會用,象棋
5407,俬,04FEC,Big5-2,,B,B,,,,,,,,,,,,12,常用詞,家俬
5711,俵,04FF5,Big5-2,,A,A,,V,,V,,,,,,1,常,11,,命名偶爾用
6054,俶,04FF6,Big5-2,,B,,,V,,V,,,,27,,2,,10,,
6055,倜,0501C,Big5-2,,A,A,,V,,V,,,,3,,4,,10,,風流倜儻
5020,倢,5022,Big5-2,,C,,,V,,V,,,,438,,4,,13,姓氏、人名,姓名常用
6056,倬,0502C,Big5-2,,A,A,,V,,V,,,,105,,2,,10,,
5408,偈,5048,Big5-2,,A,A,,V,,V,,,,10,,2,,12,常用詞,侷限
6761,偭,0506D,Big5-1,,A,,,V,,V,,,,,,,,8,,離騷：偭規矩而改錯
5409,偲,5072,Big5-2,,A,,,V,,V,,,,343,,1,人,12,,
5712,傌,0508C,Big5-2,,,,,V,,V,,,,,,,,11,偶爾會用,象棋
5412,傚,0509A,Big5-1,,A,A,,V,,V,,,,1,,2,,12,常用詞,仿傚
5713,傜,0509C,Big5-2,,C,,,V,,V,,,,,,4,,11,,
5413,傣,050A3,Big5-2,,A,A,,V,,V,,,,,,4,,12,常用詞,傣族；傣語
5714,傴,050B4,Big5-2,,,,,V,,V,,,,,,2,,11,,粵語日文好像偶爾用
5414,僂,050C2,Big5-2,,C,,,V,,V,,,,,,2,,12,常用詞,僂儸
6421,僇,050C7,Big5-1,,A,,,V,,V,,,,,,4,,9,,
6058,僉,050C9,Big5-2,,A,A,,V,,V,,,,,,2,,10,,
5715,僎,050CE,Big5-1,,A,,,V,,V,,,,,,4,,11,古漢文,
5716,僞,050DE,CJK,,,A,,,,,,,,,,2,人,11,異體,"建議將「爲」「僞」由日文包移至基本包。
漢字文化圈中，僅韓國〈漢文教育用基礎漢字〉將「爲」列為教用字。中國大陸已簡化作「为」，「爲」屬繁體字；香港〈常用字字形表〉收「為」，註「亦作爲」；台灣「常用國字標準字體表」收「為」，「爲」列為異體字；日本〈常用漢字表〉收新字體「為」，舊字體「爲」收於〈人名用漢字表〉。將「爲」作為偏旁之「僞」字亦同。
在使用傳統漢字之華人地區，「爲/僞」仍常見於印刷、手寫，或取名採用之字形。收於日文包可能基於〈人名用漢字表〉，但實際上華語人士才是「爲/僞」之大量使用者，因此應移至基本包為妥。"
6764,僩,5.00E+10,Big5-1,,A,,,V,,V,,,,7,,4,,8,,
5717,儆,5106,Big5-2,客,A,A,,V,,V,,,,2,,3,,11,常用詞,殺雞儆猴
259,儕,5115,Big5-1,客,A,A,,V,,V,,,,23,,2,,14,不分類,14 都有收
5415,儸,5138,Big5-1,,A,,,V,V,V,,,,,,,,12,常用詞,僂儸
5416,儺,0513A,Big5-2,,,A,,V,,V,,,,,,2,,12,,兩面宿儺
5022,儻,0513B,Big5-1,,A,,,V,,V,,,,,,2,,13,常用詞,風流倜儻
267,儿,0513F,Big5-1,,A,,,,,V,,,,5,,2,,14,不分類,14 都有收
5024,党,0515A,Big5-2,,,,,V,,V,,,54,2,,1,常,13,異體,黨
5025,円,5186,CJK,,,A,,,,,,,,,,1,常,13,日文,貨幣 = 圓
300,冇,5187,Big5-2,台、客,B,B,,V,,,,,,,,,,14,不分類,14 都有收
5026,冏,0518F,Big5-2,,,C,,V,,V,,,,3,,2,,13,網路,
5027,冪,051AA,Big5-1,,A,A,,V,,V,,,,,,2,,13,科學工程,降冪
5029,冼,051BC,Big5-2,,B,B,,V,,V,,,521,33,,4,,13,姓氏、人名,姓氏、洗的異體
6067,凃,051C3,CJK,台語閱讀越懂,C,,,,,,,,16447,645,,3,,10,姓氏、人名,
5030,凄,051C4,Big5-2,,,A,,V,,,,,,,,1,常,13,異體,淒
5031,凭,051ED,CJK,,,A,,,,V,,,,38,,2,,13,異體,憑
5419,刖,5216,Big5-1,,A,,,V,,V,,,,,,4,,12,史地用字,古刑罰
5420,剉,5249,Big5-2,台,C,,,V,,V,,,,,,3,,12,常用詞,剉傷
5722,剮,0526E,Big5-2,,,,,,,V,,,,,,,,11,常用詞,千刀萬剮
